"status","category","repo_path","notes"
"include","analysis_matlab","analysis/matlab/GNNBenchmark_rebuild_all_summaries.m","Rebuilds the canonical MATLAB summaries from saved prediction files."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_plot_everything.m","Top-level MATLAB figure-generation entry point."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_run_revision_analyses.m","Batch driver for revision datasets and selected rebuild/plot runs."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_analyze_results.m","Prediction-file parser and summary builder."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_plot_results.m","Per-dataset MATLAB plotting pipeline."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_plot_Flip_two_interaction.m","Two-T1 interaction analysis and plots."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_consolidated_paths.m","Consolidated snapshot path resolver."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_publication_config.m","Portable user-local path resolver."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_local_config_template.m","Template for untracked machine-specific MATLAB paths."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_calibrate_saved_fig_y_ranges.m","Figure y-range calibration helper."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_make_revision_transverse_dist_composites.m","Composite figure builder for revision panels."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_plot_all_revision_figures.m","Convenience wrapper for revision figure generation."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_verify_Flip_two_figures.m","Structural QA helper for saved Flip_two figures."
"include","analysis_matlab","analysis/matlab/GNNBenchmark_source_manifest.m","Prediction-file fingerprint helper for stale-cache guard."
"include","analysis_matlab","analysis/matlab/line_graph_from_vertex_model.m","Graph-distance helper."
"include","analysis_matlab","analysis/matlab/load_dataset.m","Dataset loading helper retained for compatibility."
"include","analysis_matlab","analysis/matlab/shadedErrorBar.m","Plotting helper. Verify third-party license requirements before public release."
"include","docs","docs/MATLAB_ANALYSIS_PIPELINE.md","MATLAB analysis workflow and configuration documentation."
"include","docs","docs/INSTALL.md","Python environment and installation guide."
"include","docs","docs/TESTED_SETTINGS.md","Recorded platforms, runtime settings, and validation commands used to test the repository."
"include","docs","docs/model_code_provenance.md","Model-source provenance summary."
"include","docs","docs/model_source_hashes_20260625.csv","SHA256 hash records for curated model source snapshots."
"include","models_mpnn","models/mpnn","GraphSAGE/GAT/GIN/PNA source snapshot."
"include","models_ppgn","models/ppgn","PPGN source snapshots used for training/prediction runs."
"include","install_checker","scripts/check_install.py","Import checker for dependencies and curated source snapshots."
"include","install_checker","scripts/setup_lh_env.sh","Shared-HPC setup helper creating isolated environments."
"exclude","data_outputs","data, predictions, embeddings, checkpoints, figures, outputs","Generated or large analysis/model artifacts are excluded from git."
"include","data_generation","data_generation/vertex_model/src","Vertex-model simulator source used to regenerate manuscript tissue graphs."
"include","data_generation","data_generation/vertex_model/GNNBenchmark_generate_vertex_model_datasets.m","MATLAB entry point for compiling/running the vertex model and assembling datasets."
"include","data_generation","data_generation/vertex_model/GNNBenchmark_assemble_vertex_model_graphs.m","Raw graph to weighted/unweighted model-ready dataset assembler."
"include","data_generation","data_generation/vertex_model/GNNBenchmark_vertex_model_publication_manifest.m","Publication graph-order manifest loader."
"include","data_generation","data_generation/vertex_model/manifests","Graph-order and split-index manifests; no raw generated tissues."
"include","data_generation","data_generation/vertex_model/README.md","Vertex-model generation documentation."
"include","data_generation","data_generation/vertex_model/source_manifest_sha256.csv","SHA256 hash records for vertex-model simulator source."

"include","bayesopt","training/bayesopt/optimize_MPNN.m","MATLAB BayesOpt driver for GraphSAGE, GAT, GIN, and PNA."
"include","bayesopt","training/bayesopt/optimize_PPGN.m","MATLAB BayesOpt driver for PPGN."
"include","bayesopt","training/bayesopt/run_or_resume_bayesopt.m","BayesOpt partial checkpoint resume helper."
"include","bayesopt","training/bayesopt/parse_bayesopt_log.m","BayesOpt diary log parser for warm-start recovery."
"include","bayesopt","training/bayesopt/GNNBenchmark_bayesopt_search_spaces.m","Final V1 BayesOpt search-space definitions."
"include","bayesopt","training/bayesopt/README.md","BayesOpt usage documentation."
